Ticker,Fund Name,Net Flows*,Details
SPY,SPDR S&P 500 ETF Trust,"4,046.57",NA
IVV,iShares Core S&P 500 ETF,"2,122.26",NA
VOO,Vanguard S&P 500 ETF,"1,449.16",NA
EEMV,iShares MSCI Emerging Markets Min Vol Factor ETF,"1,354.26",NA
MUB,iShares National Muni Bond ETF,"1,219.86",NA
XLV,Health Care Select Sector SPDR Fund,946.07,NA
TLT,iShares 20+ Year Treasury Bond ETF,919.40,NA
LQD,iShares iBoxx USD Investment Grade Corporate Bond ETF,834.00,NA
HYG,iShares iBoxx USD High Yield Corporate Bond ETF,715.93,NA
JNK,SPDR Bloomberg High Yield Bond ETF,714.06,NA
