"",Name,Daily,1 Week,1 Month,YTD,1 Year,3 Years
NA,Alerian MLP,1.74%,4.83%,5.96%,23.21%,17.47%,-16.31%
NA,Direxion Daily Gold Miners Bear 3X Shares,-0.63%,-1.63%,12.02%,-17.32%,7.63%,-96.79%
NA,Direxion Daily Gold Miners Index Bull 2X Shares,0.67%,1.65%,-15.22%,-3.38%,-37.27%,-42.14%
NA,Direxion Daily Junior Gold Miners Bear 3X Shares,-1.03%,-2.33%,9.29%,-10.81%,23.72%,-99.16%
NA,Energy Select Sector SPDR,1.83%,5.48%,17.80%,59.51%,69.57%,55.15%
NA,Financial Select Sector SPDR,1.69%,4.65%,3.07%,-8.91%,-6.37%,36.76%
NA,Invesco QQQ Trust,3.26%,5.32%,-1.32%,-22.31%,-7.44%,77.69%
NA,iShares China Large-Cap,0.72%,1.94%,-0.00%,-15.42%,-33.09%,-23.36%
NA,iShares MSCI Brazil Capped,0.62%,2.53%,9.00%,27.25%,-8.20%,-14.24%
NA,iShares MSCI EAFE,1.21%,2.19%,2.61%,-10.49%,-12.87%,11.09%
NA,iShares MSCI Emerging Markets,1.15%,1.45%,-0.78%,-13.92%,-23.36%,3.90%
NA,iShares MSCI Eurozone,1.59%,3.21%,4.89%,-14.16%,-17.05%,10.94%
NA,iShares MSCI Japan,0.60%,1.21%,3.04%,-12.87%,-14.93%,10.66%
NA,iShares Russell 2000,2.69%,5.29%,1.45%,-15.65%,-16.79%,28.64%
NA,iShares US Home Construction,1.99%,7.48%,5.54%,-26.50%,-15.25%,67.35%
NA,ProShares Ultra Bloomberg Crude Oil,1.87%,8.46%,19.46%,120.41%,191.47%,-54.09%
NA,ProShares Ultra VIX Short-Term Futures,-5.83%,-9.72%,-22.22%,14.32%,-60.70%,-96.46%
NA,ProShares UltraPro Short QQQ,-9.87%,-15.77%,-4.12%,58.28%,-15.07%,-95.77%
NA,SPDR S&P 500,2.45%,4.62%,0.79%,-12.57%,-1.14%,50.86%
NA,SPDR S&P Homebuilders,2.03%,6.90%,3.15%,-26.30%,-15.67%,64.81%
NA,SPDR S&P Oil & Gas Exploration & Production,3.99%,10.29%,19.14%,63.81%,76.31%,53.30%
NA,SPDR S&P Regional Banking,1.56%,4.64%,3.98%,-9.24%,-9.04%,28.04%
NA,Technology Select Sector SPDR,3.38%,5.51%,0.03%,-18.64%,2.21%,96.77%
NA,United States Oil,1.03%,4.26%,10.76%,57.21%,88.16%,-3.76%
NA,Utilities Select Sector SPDR,1.56%,3.82%,5.77%,5.29%,15.67%,29.39%
NA,VanEck Vectors Gold Miners,0.37%,0.81%,-7.09%,1.50%,-17.53%,50.58%
NA,VanEck Vectors Junior Gold Miners,0.50%,1.06%,-7.17%,-4.91%,-27.12%,35.02%
NA,VanEck Vectors Russia,0.00%,-0.00%,-0.00%,-78.81%,-79.91%,-73.89%
NA,Vanguard FTSE Developed Markets,1.24%,1.94%,2.12%,-10.46%,-12.78%,14.76%
NA,VelocityShares 3x Inverse Natural Gas linked to S&,0.00%,0.00%,0.00%,8097.62%,10289.25%,2463.23%
NA,VelocityShares 3x Long Crude S&P GSCI ER,0.00%,0.24%,0.24%,-98.84%,-99.15%,-98.96%
NA,VelocityShares 3x Long Natural Gas linked to S&P G,0.00%,-1.77%,43.37%,561.86%,494.44%,-84.05%
NA,VelocityShares Daily 2x VIX Short Term ETN linked,0.00%,-11.21%,-0.52%,118.94%,-31.15%,-94.93%
NA,WisdomTree Europe Hedged Equity,1.56%,2.48%,2.22%,-7.34%,-2.17%,17.23%
NA,WisdomTree India Earnings,0.39%,-0.57%,-6.44%,-8.80%,-1.71%,25.88%
NA,WisdomTree Japan Hedged Equity,0.62%,0.75%,2.01%,3.26%,5.11%,37.70%
NA,Xtrackers MSCI EAFE Hedged Equity,0.91%,1.65%,1.38%,-4.46%,-0.53%,21.90%
